Feed ID,Dataset ID,Service Date Range Start,Service Date Range End
tfs-789,koleje-mazowieckie/789/20200831,20191215,20201212
tfs-789,koleje-mazowieckie/789/20200624,20191215,20201212
tfs-789,koleje-mazowieckie/789/20200623,20191215,20201212
tfs-789,koleje-mazowieckie/789/20200430,20191215,20201212
tfs-789,koleje-mazowieckie/789/20200324,20191215,20201212
tfs-789,koleje-mazowieckie/789/20200321,20191215,20201212
tfs-789,koleje-mazowieckie/789/20200309,20191215,20201212
tfs-789,koleje-mazowieckie/789/20191216,20191215,20201212
tfs-789,koleje-mazowieckie/789/20191118,20181209,20191214
tfs-789,koleje-mazowieckie/789/20191022,20181209,20191214
tfs-789,koleje-mazowieckie/789/20191003,20181209,20191214
tfs-789,koleje-mazowieckie/789/20190831,20181209,20191214
tfs-789,koleje-mazowieckie/789/20190802,20181209,20191214
tfs-789,koleje-mazowieckie/789/20190713,20181209,20191214
tfs-789,koleje-mazowieckie/789/20190309,20181209,20191214
tfs-789,koleje-mazowieckie/789/20190303,20181209,20191214
tfs-789,koleje-mazowieckie/789/20170115,20161211,20170311
tfs-1063,metro-de-malaga/1063/20210114,20210111,20210328
tfs-1063,metro-de-malaga/1063/20201224,20201223,20210117
tfs-1063,metro-de-malaga/1063/20201112,20201110,20201231
tfs-1063,metro-de-malaga/1063/20201111,20201110,20201231
tfs-1063,metro-de-malaga/1063/20191119,20191110,20210117
tfs-1063,metro-de-malaga/1063/20191107,20191110,20210117
tfs-1063,metro-de-malaga/1063/20190730,20190722,20191130
tfs-1063,metro-de-malaga/1063/20190326,20181126,20200119
tfs-413,regie-autonome-des-transports-parisiens/413/20210325,20210324,20210923
tfs-413,regie-autonome-des-transports-parisiens/413/20210128,20210120,20210719
tfs-413,regie-autonome-des-transports-parisiens/413/20201216,20201216,20210615
tfs-413,regie-autonome-des-transports-parisiens/413/20201215,20201211,20210610
tfs-413,regie-autonome-des-transports-parisiens/413/20201209,20201208,20210607
tfs-413,regie-autonome-des-transports-parisiens/413/20201120,20201120,20210518
tfs-413,regie-autonome-des-transports-parisiens/413/20201102,20201029,20210428
tfs-413,regie-autonome-des-transports-parisiens/413/20201012,20201009,20210104
tfs-413,regie-autonome-des-transports-parisiens/413/20201006,20201003,20210104
tfs-413,regie-autonome-des-transports-parisiens/413/20200930,20200925,20210104
tfs-413,regie-autonome-des-transports-parisiens/413/20200918,20200915,20210104
tfs-413,regie-autonome-des-transports-parisiens/413/20200826,20200826,20210104
tfs-413,regie-autonome-des-transports-parisiens/413/20200808,20200806,20210104
tfs-413,regie-autonome-des-transports-parisiens/413/20200729,20200724,20210104
tfs-413,regie-autonome-des-transports-parisiens/413/20200629,20200627,20201227
tfs-413,regie-autonome-des-transports-parisiens/413/20200622,20200619,20201219
tfs-413,regie-autonome-des-transports-parisiens/413/20200514,20200513,20201112
tfs-413,regie-autonome-des-transports-parisiens/413/20200423,20200422,20201022
tfs-413,regie-autonome-des-transports-parisiens/413/20200416,20200416,20201016
tfs-413,regie-autonome-des-transports-parisiens/413/20200408,20200408,20201008
tfs-413,regie-autonome-des-transports-parisiens/413/20200319,20200318,20200917
tfs-413,regie-autonome-des-transports-parisiens/413/20200305,20200304,20200903
tfs-413,regie-autonome-des-transports-parisiens/413/20200227,20200222,20200825
tfs-413,regie-autonome-des-transports-parisiens/413/20200206,20200205,20200804
tfs-413,regie-autonome-des-transports-parisiens/413/20200118,20200115,20200714
tfs-413,regie-autonome-des-transports-parisiens/413/20200110,20200108,20200708
tfs-413,regie-autonome-des-transports-parisiens/413/20191219,20191219,20200618
tfs-413,regie-autonome-des-transports-parisiens/413/20191213,20191211,20200610
tfs-413,regie-autonome-des-transports-parisiens/413/20191123,20191122,20200521
tfs-413,regie-autonome-des-transports-parisiens/413/20191029,20191029,20200102
tfs-413,regie-autonome-des-transports-parisiens/413/20191016,20191016,20200101
tfs-413,regie-autonome-des-transports-parisiens/413/20191007,20191003,20200101
tfs-413,regie-autonome-des-transports-parisiens/413/20190928,20190927,20200101
tfs-413,regie-autonome-des-transports-parisiens/413/20190907,20190903,20200101
tfs-413,regie-autonome-des-transports-parisiens/413/20190804,20190731,20200101
tfs-413,regie-autonome-des-transports-parisiens/413/20190717,20190716,20200101
tfs-413,regie-autonome-des-transports-parisiens/413/20190712,20190709,20200101
tfs-413,regie-autonome-des-transports-parisiens/413/20190705,20190626,20191227
tfs-413,regie-autonome-des-transports-parisiens/413/20190619,20190613,20191214
tfs-413,regie-autonome-des-transports-parisiens/413/20190607,20190605,20191205
tfs-413,regie-autonome-des-transports-parisiens/413/20190527,20190523,20191124
tfs-413,regie-autonome-des-transports-parisiens/413/20190517,20190516,20191116
tfs-413,regie-autonome-des-transports-parisiens/413/20190427,20190424,20191023
tfs-413,regie-autonome-des-transports-parisiens/413/20190420,20190410,20191009
tfs-413,regie-autonome-des-transports-parisiens/413/20190210,20190205,20190804
tfs-413,regie-autonome-des-transports-parisiens/413/20190123,20190122,20190721
tfs-413,regie-autonome-des-transports-parisiens/413/20190112,20190108,20190708
tfs-413,regie-autonome-des-transports-parisiens/413/20181219,20181218,20190618
tfs-413,regie-autonome-des-transports-parisiens/413/20181207,20181204,20190604
tfs-413,regie-autonome-des-transports-parisiens/413/20181126,20181120,20190520
tfs-413,regie-autonome-des-transports-parisiens/413/20181113,20181113,20190430
tfs-413,regie-autonome-des-transports-parisiens/413/20181026,20181025,20190423
tfs-413,regie-autonome-des-transports-parisiens/413/20181019,20181016,20190101
tfs-413,regie-autonome-des-transports-parisiens/413/20181004,20181003,20190101
tfs-413,regie-autonome-des-transports-parisiens/413/20180915,20180914,20190101
tfs-413,regie-autonome-des-transports-parisiens/413/20180902,20180831,20190101
tfs-413,regie-autonome-des-transports-parisiens/413/20180810,20180802,20190101
tfs-413,regie-autonome-des-transports-parisiens/413/20180727,20180717,20190101
tfs-413,regie-autonome-des-transports-parisiens/413/20180708,20180705,20190101
tfs-413,regie-autonome-des-transports-parisiens/413/20180707,20180705,20190101
tfs-413,regie-autonome-des-transports-parisiens/413/20180621,20180620,20181220
tfs-413,regie-autonome-des-transports-parisiens/413/20180613,20180612,20181212
tfs-413,regie-autonome-des-transports-parisiens/413/20180527,20180523,20181123
