Feed Stable ID,Catalog ID,Feature
mdb-407,us-west-virginia-mountain-line-transit-authority-gtfs-407,Fares V1
mdb-407,us-west-virginia-mountain-line-transit-authority-gtfs-407,Shapes
mdb-407,us-west-virginia-mountain-line-transit-authority-gtfs-407,Frequencies
mdb-407,us-west-virginia-mountain-line-transit-authority-gtfs-407,Feed Information
mdb-407,us-west-virginia-mountain-line-transit-authority-gtfs-407,Route Colors
mdb-407,us-west-virginia-mountain-line-transit-authority-gtfs-407,Headsigns
mdb-407,us-west-virginia-mountain-line-transit-authority-gtfs-407,Wheelchair Accessibility
mdb-407,us-west-virginia-mountain-line-transit-authority-gtfs-407,Bikes Allowance
mdb-407,us-west-virginia-mountain-line-transit-authority-gtfs-407,Location Types
mdb-621,us-virginia-virginia-regional-transit-gtfs-621,Fares V1
mdb-621,us-virginia-virginia-regional-transit-gtfs-621,Shapes
mdb-621,us-virginia-virginia-regional-transit-gtfs-621,Feed Information
mdb-621,us-virginia-virginia-regional-transit-gtfs-621,Zone-Based Fares
mdb-621,us-virginia-virginia-regional-transit-gtfs-621,Route Colors
mdb-621,us-virginia-virginia-regional-transit-gtfs-621,Headsigns
mdb-621,us-virginia-virginia-regional-transit-gtfs-621,Wheelchair Accessibility
mdb-621,us-virginia-virginia-regional-transit-gtfs-621,Location Types
mdb-621,us-virginia-virginia-regional-transit-gtfs-621,Continuous Stops
mdb-1272,pt-lisboa-cascais-proxima-gtfs-1272,Fares V1
mdb-1272,pt-lisboa-cascais-proxima-gtfs-1272,Shapes
mdb-1272,pt-lisboa-cascais-proxima-gtfs-1272,Feed Information
mdb-1272,pt-lisboa-cascais-proxima-gtfs-1272,Route Colors
mdb-1272,pt-lisboa-cascais-proxima-gtfs-1272,Headsigns
mdb-1272,pt-lisboa-cascais-proxima-gtfs-1272,Location Types
mdb-753,ca-quebec-exo-ville-de-sainte-julie-gtfs-753,Shapes
mdb-753,ca-quebec-exo-ville-de-sainte-julie-gtfs-753,Feed Information
mdb-753,ca-quebec-exo-ville-de-sainte-julie-gtfs-753,Route Colors
mdb-753,ca-quebec-exo-ville-de-sainte-julie-gtfs-753,Headsigns
mdb-753,ca-quebec-exo-ville-de-sainte-julie-gtfs-753,Wheelchair Accessibility
mdb-753,ca-quebec-exo-ville-de-sainte-julie-gtfs-753,Bikes Allowance
mdb-611,us-virginia-graham-transit-gtfs-611,Fares V1
mdb-611,us-virginia-graham-transit-gtfs-611,Shapes
mdb-611,us-virginia-graham-transit-gtfs-611,Feed Information
mdb-611,us-virginia-graham-transit-gtfs-611,Route Colors
mdb-611,us-virginia-graham-transit-gtfs-611,Headsigns
mdb-611,us-virginia-graham-transit-gtfs-611,Wheelchair Accessibility
mdb-611,us-virginia-graham-transit-gtfs-611,Location Types
mdb-611,us-virginia-graham-transit-gtfs-611,Continuous Stops
mdb-2012,co-distrito-capital-de-bogota-simur-bogota-gtfs-2012,Fares V1
mdb-2012,co-distrito-capital-de-bogota-simur-bogota-gtfs-2012,Shapes
mdb-2012,co-distrito-capital-de-bogota-simur-bogota-gtfs-2012,Frequencies
mdb-2012,co-distrito-capital-de-bogota-simur-bogota-gtfs-2012,Route Colors
mdb-2012,co-distrito-capital-de-bogota-simur-bogota-gtfs-2012,Location Types
mdb-393,us-wisconsin-janesville-transit-system-gtfs-393,Transfers
mdb-393,us-wisconsin-janesville-transit-system-gtfs-393,Fares V1
mdb-393,us-wisconsin-janesville-transit-system-gtfs-393,Shapes
mdb-393,us-wisconsin-janesville-transit-system-gtfs-393,Feed Information
mdb-393,us-wisconsin-janesville-transit-system-gtfs-393,Route Colors
mdb-393,us-wisconsin-janesville-transit-system-gtfs-393,Headsigns
mdb-393,us-wisconsin-janesville-transit-system-gtfs-393,Wheelchair Accessibility
mdb-393,us-wisconsin-janesville-transit-system-gtfs-393,Location Types
mdb-393,us-wisconsin-janesville-transit-system-gtfs-393,Continuous Stops
mdb-423,us-massachusetts-cuttyhunk-ferry-company-gtfs-423,Fares V1
mdb-423,us-massachusetts-cuttyhunk-ferry-company-gtfs-423,Shapes
mdb-423,us-massachusetts-cuttyhunk-ferry-company-gtfs-423,Feed Information
mdb-423,us-massachusetts-cuttyhunk-ferry-company-gtfs-423,Headsigns
mdb-423,us-massachusetts-cuttyhunk-ferry-company-gtfs-423,Wheelchair Accessibility
mdb-423,us-massachusetts-cuttyhunk-ferry-company-gtfs-423,Location Types
mdb-423,us-massachusetts-cuttyhunk-ferry-company-gtfs-423,Continuous Stops
mdb-565,us-nevada-city-of-las-vegas-gtfs-565,Fares V1
mdb-565,us-nevada-city-of-las-vegas-gtfs-565,Shapes
mdb-565,us-nevada-city-of-las-vegas-gtfs-565,Feed Information
mdb-565,us-nevada-city-of-las-vegas-gtfs-565,Route Colors
mdb-565,us-nevada-city-of-las-vegas-gtfs-565,Headsigns
mdb-565,us-nevada-city-of-las-vegas-gtfs-565,Wheelchair Accessibility
mdb-565,us-nevada-city-of-las-vegas-gtfs-565,Location Types
mdb-565,us-nevada-city-of-las-vegas-gtfs-565,Continuous Stops
mdb-1985,pe-unknown-aeroexpreso-gtfs-1985,Fares V1
mdb-1985,pe-unknown-aeroexpreso-gtfs-1985,Shapes
mdb-1985,pe-unknown-aeroexpreso-gtfs-1985,Route Colors
mdb-1985,pe-unknown-aeroexpreso-gtfs-1985,Headsigns
mdb-1985,pe-unknown-aeroexpreso-gtfs-1985,Wheelchair Accessibility
mdb-1985,pe-unknown-aeroexpreso-gtfs-1985,Bikes Allowance
mdb-1985,pe-unknown-aeroexpreso-gtfs-1985,Location Types
mdb-1840,fr-normandie-reseau-urbain-cap-cotentin-gtfs-1840,Shapes
mdb-1840,fr-normandie-reseau-urbain-cap-cotentin-gtfs-1840,Route Colors
mdb-1840,fr-normandie-reseau-urbain-cap-cotentin-gtfs-1840,Headsigns
mdb-1840,fr-normandie-reseau-urbain-cap-cotentin-gtfs-1840,Wheelchair Accessibility
mdb-1840,fr-normandie-reseau-urbain-cap-cotentin-gtfs-1840,Bikes Allowance
mdb-1840,fr-normandie-reseau-urbain-cap-cotentin-gtfs-1840,Location Types
mdb-255,us-oregon-swan-island-evening-shuttle-gtfs-255,Fares V1
mdb-255,us-oregon-swan-island-evening-shuttle-gtfs-255,Shapes
mdb-255,us-oregon-swan-island-evening-shuttle-gtfs-255,Feed Information
mdb-255,us-oregon-swan-island-evening-shuttle-gtfs-255,Route Colors
mdb-255,us-oregon-swan-island-evening-shuttle-gtfs-255,Headsigns
mdb-255,us-oregon-swan-island-evening-shuttle-gtfs-255,Wheelchair Accessibility
mdb-255,us-oregon-swan-island-evening-shuttle-gtfs-255,Location Types
mdb-255,us-oregon-swan-island-evening-shuttle-gtfs-255,Continuous Stops
